Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65.0,8450,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,2STORY,7,5,2003-01-01,2003-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,196.0,GD,TA,PCONC,GD,TA,NO,GLQ,706,UNF,0,150,856,GASA,EX,Y,SBRKR,856,854,0,1710,1,0,2,1,3,1,GD,8,TYP,0,,ATTCHD,2003.0,RFN,2,548,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008-01-01,WD,NORMAL,208500
2,20,RL,80.0,9600,PAVE,,REG,LVL,ALLPUB,FR2,GTL,VEENKER,FEEDR,NORM,1FAM,1STORY,6,8,1976-01-01,1976-01-01,GABLE,COMPSHG,METALSD,METALSD,,0.0,TA,TA,CBLOCK,GD,TA,GD,ALQ,978,UNF,0,284,1262,GASA,EX,Y,SBRKR,1262,0,0,1262,0,1,2,0,3,1,TA,6,TYP,1,TA,ATTCHD,1976.0,RFN,2,460,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007-01-01,WD,NORMAL,181500
3,60,RL,68.0,11250,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,2STORY,7,5,2001-01-01,2002-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,162.0,GD,TA,PCONC,GD,TA,MN,GLQ,486,UNF,0,434,920,GASA,EX,Y,SBRKR,920,866,0,1786,1,0,2,1,3,1,GD,6,TYP,1,TA,ATTCHD,2001.0,RFN,2,608,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008-01-01,WD,NORMAL,223500
4,70,RL,60.0,9550,PAVE,,IR1,LVL,ALLPUB,CORNER,GTL,CRAWFOR,NORM,NORM,1FAM,2STORY,7,5,1915-01-01,1970-01-01,GABLE,COMPSHG,WD SDNG,WD SHNG,,0.0,TA,TA,BRKTIL,TA,GD,NO,ALQ,216,UNF,0,540,756,GASA,GD,Y,SBRKR,961,756,0,1717,1,0,1,0,3,1,GD,7,TYP,1,GD,DETCHD,1998.0,UNF,3,642,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006-01-01,WD,ABNORML,140000
5,60,RL,84.0,14260,PAVE,,IR1,LVL,ALLPUB,FR2,GTL,NORIDGE,NORM,NORM,1FAM,2STORY,8,5,2000-01-01,2000-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,350.0,GD,TA,PCONC,GD,TA,AV,GLQ,655,UNF,0,490,1145,GASA,EX,Y,SBRKR,1145,1053,0,2198,1,0,2,1,4,1,GD,9,TYP,1,TA,ATTCHD,2000.0,RFN,3,836,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008-01-01,WD,NORMAL,250000
6,50,RL,85.0,14115,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,MITCHEL,NORM,NORM,1FAM,1.5FIN,5,5,1993-01-01,1995-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,,0.0,TA,TA,WOOD,GD,TA,NO,GLQ,732,UNF,0,64,796,GASA,EX,Y,SBRKR,796,566,0,1362,1,0,1,1,1,1,TA,5,TYP,0,,ATTCHD,1993.0,UNF,2,480,TA,TA,Y,40,30,0,320,0,0,,MNPRV,SHED,700,10,2009-01-01,WD,NORMAL,143000
7,20,RL,75.0,10084,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,SOMERST,NORM,NORM,1FAM,1STORY,8,5,2004-01-01,2005-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,186.0,GD,TA,PCONC,EX,TA,AV,GLQ,1369,UNF,0,317,1686,GASA,EX,Y,SBRKR,1694,0,0,1694,1,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,2004.0,RFN,2,636,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007-01-01,WD,NORMAL,307000
8,60,RL,,10382,PAVE,,IR1,LVL,ALLPUB,CORNER,GTL,NWAMES,POSN,NORM,1FAM,2STORY,7,6,1973-01-01,1973-01-01,GABLE,COMPSHG,HDBOARD,HDBOARD,STONE,240.0,TA,TA,CBLOCK,GD,TA,MN,ALQ,859,BLQ,32,216,1107,GASA,EX,Y,SBRKR,1107,983,0,2090,1,0,2,1,3,1,TA,7,TYP,2,TA,ATTCHD,1973.0,RFN,2,484,TA,TA,Y,235,204,228,0,0,0,,,SHED,350,11,2009-01-01,WD,NORMAL,200000
9,50,RM,51.0,6120,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,OLDTOWN,ARTERY,NORM,1FAM,1.5FIN,7,5,1931-01-01,1950-01-01,GABLE,COMPSHG,BRKFACE,WD SHNG,,0.0,TA,TA,BRKTIL,TA,TA,NO,UNF,0,UNF,0,952,952,GASA,GD,Y,FUSEF,1022,752,0,1774,0,0,2,0,2,2,TA,8,MIN1,2,TA,DETCHD,1931.0,UNF,2,468,FA,TA,Y,90,0,205,0,0,0,,,,0,4,2008-01-01,WD,ABNORML,129900
10,190,RL,50.0,7420,PAVE,,REG,LVL,ALLPUB,CORNER,GTL,BRKSIDE,ARTERY,ARTERY,2FMCON,1.5UNF,5,6,1939-01-01,1950-01-01,GABLE,COMPSHG,METALSD,METALSD,,0.0,TA,TA,BRKTIL,TA,TA,NO,GLQ,851,UNF,0,140,991,GASA,EX,Y,SBRKR,1077,0,0,1077,1,0,1,0,2,2,TA,5,TYP,2,TA,ATTCHD,1939.0,RFN,1,205,GD,TA,Y,0,4,0,0,0,0,,,,0,1,2008-01-01,WD,NORMAL,118000
11,20,RL,70.0,11200,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,5,1965-01-01,1965-01-01,HIP,COMPSHG,HDBOARD,HDBOARD,,0.0,TA,TA,CBLOCK,TA,TA,NO,REC,906,UNF,0,134,1040,GASA,EX,Y,SBRKR,1040,0,0,1040,1,0,1,0,3,1,TA,5,TYP,0,,DETCHD,1965.0,UNF,1,384,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008-01-01,WD,NORMAL,129500
12,60,RL,85.0,11924,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,9,5,2005-01-01,2006-01-01,HIP,COMPSHG,WDSHING,WD SHNG,STONE,286.0,EX,TA,PCONC,EX,TA,NO,GLQ,998,UNF,0,177,1175,GASA,EX,Y,SBRKR,1182,1142,0,2324,1,0,3,0,4,1,EX,11,TYP,2,GD,BUILTIN,2005.0,FIN,3,736,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006-01-01,NEW,PARTIAL,345000
13,20,RL,,12968,PAVE,,IR2,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,6,1962-01-01,1962-01-01,HIP,COMPSHG,HDBOARD,PLYWOOD,,0.0,TA,TA,CBLOCK,TA,TA,NO,ALQ,737,UNF,0,175,912,GASA,TA,Y,SBRKR,912,0,0,912,1,0,1,0,2,1,TA,4,TYP,0,,DETCHD,1962.0,UNF,1,352,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008-01-01,WD,NORMAL,144000
14,20,RL,91.0,10652,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,7,5,2006-01-01,2007-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,306.0,GD,TA,PCONC,GD,TA,AV,UNF,0,UNF,0,1494,1494,GASA,EX,Y,SBRKR,1494,0,0,1494,0,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,2006.0,RFN,3,840,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007-01-01,NEW,PARTIAL,279500
15,20,RL,,10920,PAVE,,IR1,LVL,ALLPUB,CORNER,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,5,1960-01-01,1960-01-01,HIP,COMPSHG,METALSD,METALSD,BRKFACE,212.0,TA,TA,CBLOCK,TA,TA,NO,BLQ,733,UNF,0,520,1253,GASA,TA,Y,SBRKR,1253,0,0,1253,1,0,1,1,2,1,TA,5,TYP,1,FA,ATTCHD,1960.0,RFN,1,352,TA,TA,Y,0,213,176,0,0,0,,GDWO,,0,5,2008-01-01,WD,NORMAL,157000
16,45,RM,51.0,6120,PAVE,,REG,LVL,ALLPUB,CORNER,GTL,BRKSIDE,NORM,NORM,1FAM,1.5UNF,7,8,1929-01-01,2001-01-01,GABLE,COMPSHG,WD SDNG,WD SDNG,,0.0,TA,TA,BRKTIL,TA,TA,NO,UNF,0,UNF,0,832,832,GASA,EX,Y,FUSEA,854,0,0,854,0,0,1,0,2,1,TA,5,TYP,0,,DETCHD,1991.0,UNF,2,576,TA,TA,Y,48,112,0,0,0,0,,GDPRV,,0,7,2007-01-01,WD,NORMAL,132000
17,20,RL,,11241,PAVE,,IR1,LVL,ALLPUB,CULDSAC,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,7,1970-01-01,1970-01-01,GABLE,COMPSHG,WD SDNG,WD SDNG,BRKFACE,180.0,TA,TA,CBLOCK,TA,TA,NO,ALQ,578,UNF,0,426,1004,GASA,EX,Y,SBRKR,1004,0,0,1004,1,0,1,0,2,1,TA,5,TYP,1,TA,ATTCHD,1970.0,FIN,2,480,TA,TA,Y,0,0,0,0,0,0,,,SHED,700,3,2010-01-01,WD,NORMAL,149000
18,90,RL,72.0,10791,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,DUPLEX,1STORY,4,5,1967-01-01,1967-01-01,GABLE,COMPSHG,METALSD,METALSD,,0.0,TA,TA,SLAB,,,,,0,,0,0,0,GASA,TA,Y,SBRKR,1296,0,0,1296,0,0,2,0,2,2,TA,6,TYP,0,,CARPORT,1967.0,UNF,2,516,TA,TA,Y,0,0,0,0,0,0,,,SHED,500,10,2006-01-01,WD,NORMAL,90000
19,20,RL,66.0,13695,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,SAWYERW,RRAE,NORM,1FAM,1STORY,5,5,2004-01-01,2004-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,,0.0,TA,TA,PCONC,TA,TA,NO,GLQ,646,UNF,0,468,1114,GASA,EX,Y,SBRKR,1114,0,0,1114,1,0,1,1,3,1,GD,6,TYP,0,,DETCHD,2004.0,UNF,2,576,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008-01-01,WD,NORMAL,159000
20,20,RL,70.0,7560,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1958-01-01,1965-01-01,HIP,COMPSHG,BRKFACE,PLYWOOD,,0.0,TA,TA,CBLOCK,TA,TA,NO,LWQ,504,UNF,0,525,1029,GASA,TA,Y,SBRKR,1339,0,0,1339,0,0,1,0,3,1,TA,6,MIN1,0,,ATTCHD,1958.0,UNF,1,294,TA,TA,Y,0,0,0,0,0,0,,MNPRV,,0,5,2009-01-01,COD,ABNORML,139000
21,60,RL,101.0,14215,PAVE,,IR1,LVL,ALLPUB,CORNER,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,8,5,2005-01-01,2006-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,380.0,GD,TA,PCONC,EX,TA,AV,UNF,0,UNF,0,1158,1158,GASA,EX,Y,SBRKR,1158,1218,0,2376,0,0,3,1,4,1,GD,9,TYP,1,GD,BUILTIN,2005.0,RFN,3,853,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006-01-01,NEW,PARTIAL,325300
22,45,RM,57.0,7449,PAVE,GRVL,REG,BNK,ALLPUB,INSIDE,GTL,IDOTRR,NORM,NORM,1FAM,1.5UNF,7,7,1930-01-01,1950-01-01,GABLE,COMPSHG,WD SDNG,WD SDNG,,0.0,TA,TA,PCONC,TA,TA,NO,UNF,0,UNF,0,637,637,GASA,EX,Y,FUSEF,1108,0,0,1108,0,0,1,0,3,1,GD,6,TYP,1,GD,ATTCHD,1930.0,UNF,1,280,TA,TA,N,0,0,205,0,0,0,,GDPRV,,0,6,2007-01-01,WD,NORMAL,139400
23,20,RL,75.0,9742,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,8,5,2002-01-01,2002-01-01,HIP,COMPSHG,VINYLSD,VINYLSD,BRKFACE,281.0,GD,TA,PCONC,GD,TA,NO,UNF,0,UNF,0,1777,1777,GASA,EX,Y,SBRKR,1795,0,0,1795,0,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,2002.0,RFN,2,534,TA,TA,Y,171,159,0,0,0,0,,,,0,9,2008-01-01,WD,NORMAL,230000
24,120,RM,44.0,4224,PAVE,,REG,LVL,ALLPUB,INSIDE,GTL,MEADOWV,NORM,NORM,TWNHSE,1STORY,5,7,1976-01-01,1976-01-01,GABLE,COMPSHG,CEMNTBD,CMENTBD,,0.0,TA,TA,PCONC,GD,TA,NO,GLQ,840,UNF,0,200,1040,GASA,TA,Y,SBRKR,1060,0,0,1060,1,0,1,0,3,1,TA,6,TYP,1,TA,ATTCHD,1976.0,UNF,2,572,TA,TA,Y,100,110,0,0,0,0,,,,0,6,2007-01-01,WD,NORMAL,129900
25,20,RL,,8246,PAVE,,IR1,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,8,1968-01-01,2001-01-01,GABLE,COMPSHG,PLYWOOD,PLYWOOD,,0.0,TA,GD,CBLOCK,TA,TA,MN,REC,188,ALQ,668,204,1060,GASA,EX,Y,SBRKR,1060,0,0,1060,1,0,1,0,3,1,GD,6,TYP,1,TA,ATTCHD,1968.0,UNF,1,270,TA,TA,Y,406,90,0,0,0,0,,MNPRV,,0,5,2010-01-01,WD,NORMAL,154000
26,20,RL,110.0,14230,PAVE,,REG,LVL,ALLPUB,CORNER,GTL,NRIDGHT,NORM,NORM,1FAM,1STORY,8,5,2007-01-01,2007-01-01,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,640.0,GD,TA,PCONC,GD,TA,NO,UNF,0,UNF,0,1566,1566,GASA,EX,Y,SBRKR,1600,0,0,1600,0,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,2007.0,RFN,3,890,TA,TA,Y,0,56,0,0,0,0,,,,0,7,2009-01-01,WD,NORMAL,256300
